,dt,new_users_count,day_after_install,retained_users_count,retention
92,2019-12-26,13,68.0,1.0,0.07692307692307693
93,2019-12-26,13,75.0,1.0,0.07692307692307693
94,2019-12-26,13,79.0,1.0,0.07692307692307693
95,2019-12-26,13,80.0,2.0,0.15384615384615385
96,2019-12-26,13,89.0,1.0,0.07692307692307693
97,2019-12-26,13,91.0,1.0,0.07692307692307693
98,2019-12-26,13,92.0,1.0,0.07692307692307693
99,2019-12-26,13,96.0,2.0,0.15384615384615385
100,2019-12-26,13,133.0,1.0,0.07692307692307693
101,2019-12-26,13,135.0,1.0,0.07692307692307693
102,2019-12-26,13,136.0,1.0,0.07692307692307693
103,2019-12-26,13,157.0,1.0,0.07692307692307693
104,2019-12-26,13,170.0,1.0,0.07692307692307693
105,2019-12-26,13,171.0,2.0,0.15384615384615385
106,2019-12-26,13,181.0,1.0,0.07692307692307693
107,2019-12-26,13,182.0,1.0,0.07692307692307693
108,2019-12-26,13,186.0,1.0,0.07692307692307693
109,2019-12-26,13,187.0,1.0,0.07692307692307693
110,2019-12-27,6,40.0,1.0,0.16666666666666666
111,2019-12-27,6,41.0,1.0,0.16666666666666666
112,2019-12-27,6,43.0,1.0,0.16666666666666666
113,2019-12-27,6,46.0,1.0,0.16666666666666666
114,2019-12-27,6,50.0,1.0,0.16666666666666666
115,2019-12-27,6,54.0,1.0,0.16666666666666666
116,2019-12-27,6,97.0,1.0,0.16666666666666666
117,2019-12-27,6,101.0,1.0,0.16666666666666666
118,2019-12-27,6,128.0,1.0,0.16666666666666666
119,2019-12-27,6,137.0,1.0,0.16666666666666666
120,2019-12-27,6,150.0,1.0,0.16666666666666666
121,2019-12-27,6,152.0,1.0,0.16666666666666666
122,2019-12-27,6,160.0,1.0,0.16666666666666666
123,2019-12-27,6,161.0,1.0,0.16666666666666666
124,2019-12-27,6,165.0,1.0,0.16666666666666666
125,2019-12-27,6,166.0,2.0,0.3333333333333333
126,2019-12-27,6,172.0,1.0,0.16666666666666666
127,2019-12-27,6,173.0,1.0,0.16666666666666666
128,2019-12-27,6,174.0,1.0,0.16666666666666666
129,2019-12-28,2,24.0,1.0,0.5
130,2019-12-28,2,30.0,1.0,0.5
131,2019-12-28,2,101.0,1.0,0.5
132,2019-12-30,1,30.0,1.0,1.0
133,2019-12-30,1,54.0,1.0,1.0
134,2019-12-30,1,123.0,1.0,1.0
135,2020-01-01,1,98.0,1.0,1.0
136,2020-01-05,1,137.0,1.0,1.0
137,2020-01-07,1,117.0,1.0,1.0
138,2020-01-07,1,119.0,1.0,1.0
139,2020-01-07,1,147.0,1.0,1.0
140,2020-01-12,1,74.0,1.0,1.0
141,2020-01-13,1,108.0,1.0,1.0
142,2020-01-13,1,109.0,1.0,1.0
143,2020-01-13,1,110.0,1.0,1.0
144,2020-01-13,1,111.0,1.0,1.0
145,2020-01-16,3,3.0,1.0,0.3333333333333333
146,2020-01-16,3,12.0,1.0,0.3333333333333333
147,2020-01-16,3,14.0,1.0,0.3333333333333333
148,2020-01-16,3,18.0,1.0,0.3333333333333333
149,2020-01-16,3,20.0,1.0,0.3333333333333333
150,2020-01-16,3,21.0,2.0,0.6666666666666666
151,2020-01-16,3,23.0,1.0,0.3333333333333333
152,2020-01-16,3,26.0,1.0,0.3333333333333333
153,2020-01-16,3,27.0,1.0,0.3333333333333333
154,2020-01-16,3,31.0,1.0,0.3333333333333333
155,2020-01-16,3,32.0,1.0,0.3333333333333333
156,2020-01-16,3,33.0,1.0,0.3333333333333333
157,2020-01-16,3,34.0,1.0,0.3333333333333333
158,2020-01-16,3,36.0,1.0,0.3333333333333333
159,2020-01-16,3,42.0,1.0,0.3333333333333333
160,2020-01-16,3,47.0,1.0,0.3333333333333333
161,2020-01-16,3,55.0,1.0,0.3333333333333333
162,2020-01-16,3,57.0,1.0,0.3333333333333333
163,2020-01-16,3,60.0,2.0,0.6666666666666666
164,2020-01-16,3,61.0,1.0,0.3333333333333333
165,2020-01-16,3,67.0,1.0,0.3333333333333333
166,2020-01-16,3,68.0,1.0,0.3333333333333333
167,2020-01-16,3,74.0,1.0,0.3333333333333333
168,2020-01-16,3,75.0,1.0,0.3333333333333333
169,2020-01-16,3,76.0,1.0,0.3333333333333333
170,2020-01-16,3,81.0,1.0,0.3333333333333333
171,2020-01-16,3,84.0,1.0,0.3333333333333333
172,2020-01-16,3,88.0,1.0,0.3333333333333333
173,2020-01-16,3,94.0,1.0,0.3333333333333333
174,2020-01-16,3,97.0,1.0,0.3333333333333333
175,2020-01-16,3,110.0,1.0,0.3333333333333333
176,2020-01-16,3,112.0,1.0,0.3333333333333333
177,2020-01-16,3,123.0,1.0,0.3333333333333333
178,2020-01-16,3,133.0,1.0,0.3333333333333333
179,2020-01-16,3,144.0,1.0,0.3333333333333333
180,2020-01-16,3,160.0,1.0,0.3333333333333333
181,2020-01-17,1,58.0,1.0,1.0
182,2020-01-17,1,60.0,1.0,1.0
183,2020-01-22,8,28.0,1.0,0.125
184,2020-01-22,8,113.0,1.0,0.125
185,2020-01-22,8,117.0,1.0,0.125
186,2020-01-22,8,124.0,1.0,0.125
187,2020-01-22,8,125.0,1.0,0.125
188,2020-01-22,8,130.0,1.0,0.125
189,2020-01-22,8,139.0,1.0,0.125
190,2020-01-22,8,145.0,1.0,0.125
191,2020-01-22,8,152.0,1.0,0.125
192,2020-01-23,70,1.0,10.0,0.14285714285714285
193,2020-01-23,70,2.0,5.0,0.07142857142857142
194,2020-01-23,70,3.0,2.0,0.02857142857142857
195,2020-01-23,70,6.0,2.0,0.02857142857142857
196,2020-01-23,70,7.0,1.0,0.014285714285714285
197,2020-01-23,70,14.0,1.0,0.014285714285714285
