,dt,users_count_without_revenue,users_count_with_revenue,revenue,arpu
81,2020-04-09,66635,261,3345.491784930229,0.05001034120022466
82,2020-04-10,68884,328,3766.9841381311417,0.05442674880268077
83,2020-04-11,72927,381,4726.36674118042,0.06447272795848229
84,2020-04-12,69597,486,5107.3238307237625,0.07287535965531959
85,2020-04-13,74544,418,4466.839297294617,0.059588048575206325
86,2020-04-14,83088,462,4704.64931344986,0.05630938735427719
87,2020-04-15,93164,575,5915.29798579216,0.06310391604126521
88,2020-04-16,102891,590,6323.277233123779,0.061105683488986186
89,2020-04-17,103168,628,7337.667224764824,0.07069315989792307
90,2020-04-18,103892,683,7852.33410179615,0.07508806217352283
91,2020-04-19,107291,667,7000.95963716507,0.06484891936831981
92,2020-04-20,105439,548,6223.437705397606,0.05871887783782545
93,2020-04-21,102102,516,5871.621143221855,0.05721823796236387
94,2020-04-22,97384,405,4652.3930505514145,0.047575832154449015
95,2020-04-23,94500,345,3157.980753660202,0.0332962280948938
96,2020-04-24,94087,354,3587.065407037735,0.03798207777382424
97,2020-04-25,91780,329,3572.7967997789383,0.0387887915380575
98,2020-04-26,90750,396,4391.963357329369,0.048186024151683764
99,2020-04-27,88396,345,4270.3034324646,0.048120974887195314
100,2020-04-28,87104,303,3265.663378715515,0.03736157720452041
101,2020-04-29,84121,322,3634.7509937286377,0.043043840149315366
102,2020-04-30,91774,396,4681.56033551693,0.050792669366571876
103,2020-05-01,98890,519,6104.176853179932,0.0614046701322811
104,2020-05-02,102379,448,5493.367298126221,0.0534233936429753
105,2020-05-03,107467,515,5612.212818861008,0.051973595773934615
106,2020-05-04,110007,470,4753.9436103105545,0.04303107081393009
107,2020-05-05,111698,398,4599.0386699438095,0.04102767868562491
108,2020-05-06,111342,430,4914.338639497757,0.04396752889362056
109,2020-05-07,111515,360,3949.9106882810593,0.03530646425279159
110,2020-05-08,104359,368,4431.204654574394,0.04231196018767266
111,2020-05-09,99639,379,4275.877285718918,0.0427510776632098
112,2020-05-10,99283,367,3684.7722957134247,0.03697714295748544
113,2020-05-11,95139,316,3054.165183663368,0.03199586384855029
114,2020-05-12,93320,347,3847.8718926906586,0.041080336646744944
115,2020-05-13,93049,406,4929.378612041473,0.052746012648242184
116,2020-05-14,93428,456,5131.140122771263,0.054654042464863696
117,2020-05-15,93337,386,4405.842150211334,0.047009188248469794
118,2020-05-16,93009,436,4979.71558368206,0.05329033745713586
119,2020-05-17,93479,495,5245.947341442108,0.05582339095326482
120,2020-05-18,92483,478,5143.597595334053,0.055330704223642745
121,2020-05-19,94695,461,5086.222384929657,0.053451410157317004
122,2020-05-20,95114,427,4915.14671421051,0.05144541834616039
123,2020-05-21,96070,469,5438.256132721901,0.056332219442110455
124,2020-05-22,98020,533,6856.766925215721,0.06957441097902368
125,2020-05-23,94923,516,5905.2373913526535,0.06187446841807493
126,2020-05-24,93026,552,7070.195186138153,0.0755540317824505
127,2020-05-25,88542,461,5568.209699749947,0.06256204509679389
128,2020-05-26,86381,502,6210.289695858955,0.07147876679970713
129,2020-05-27,82738,399,4482.536232113838,0.053917464331330676
130,2020-05-28,81639,469,5075.25596511364,0.061811954561232035
131,2020-05-29,78766,458,5440.068124890327,0.06866692069183994
132,2020-05-30,74056,498,5995.224526643753,0.08041452539962649
133,2020-05-31,71639,665,9670.430979728699,0.1337468325366328
134,2020-06-01,69440,581,8272.268031835556,0.11813981565295491
135,2020-06-02,71126,477,6437.329033136368,0.08990306318361477
136,2020-06-03,73651,551,7980.945020914078,0.10755700683154197
137,2020-06-04,75398,638,9889.637746334076,0.13006520261894466
138,2020-06-05,77201,672,11399.956553220749,0.14639164477059763
139,2020-06-06,78481,603,10299.44844532013,0.13023428816600235
140,2020-06-07,79534,724,12202.666262030602,0.15204298963381346
141,2020-06-08,78334,686,10901.057621598244,0.13795314631230376
142,2020-06-09,79151,654,10599.957233190536,0.13282322201855193
143,2020-06-10,80044,694,11120.602526664734,0.1377369086014607
144,2020-06-11,81428,732,11435.972898483276,0.13919149097472341
145,2020-06-12,81172,721,11562.246826410294,0.1411872422113037
146,2020-06-13,81053,673,11819.937500596046,0.14462885129085049
147,2020-06-14,82698,792,13525.238490104675,0.16199830506772878
148,2020-06-15,82089,787,12900.033215284348,0.15565463119943468
149,2020-06-16,81655,697,10497.13152229786,0.1274666252464768
150,2020-06-17,81374,684,11028.92701613903,0.13440404367811828
151,2020-06-18,79212,652,11373.31790792942,0.142408568415424
152,2020-06-19,78999,617,9834.912182450294,0.12352934312764136
153,2020-06-20,77942,615,10419.004655718803,0.13262986946699598
154,2020-06-21,78511,669,10125.602515935898,0.12788080974912727
155,2020-06-22,75508,549,8733.00908088684,0.11482189779884613
156,2020-06-23,75878,494,8095.171625137329,0.10599659070257855
157,2020-06-24,75514,462,7101.779225587845,0.09347398159402766
158,2020-06-25,73765,405,5590.185863018036,0.07536990512360842
159,2020-06-26,74544,415,5770.776353478432,0.07698577026745863
160,2020-06-27,75198,406,6889.732861638069,0.09112921090997922
161,2020-06-28,75061,407,7168.546406626701,0.09498789429462423
162,2020-06-29,72648,347,4729.804003477097,0.06479627376501262
163,2020-06-30,71261,376,5587.6456689834595,0.07799943700857741
164,2020-07-01,68533,387,5588.191205739975,0.0810822867925127
